@relation 'training_tutorial1-weka.filters.unsupervised.attribute.Remove-R23,25'

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dis_Dot numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric
@attribute Score2 numeric

@data
12,10,1,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,7,Stop,0,-2
13,10,1,1,1,1,1,5,6,5,12,13,6,13,12,12,10,4,2,6,East,-1,197
13,11,1,1,1,1,1,5,6,5,12,13,6,13,12,13,9,5,1,7,North,-2,196
13,12,1,1,1,1,1,5,6,5,12,13,6,7,1,14,8,6,-1,8,North,197,195
13,11,1,1,1,1,1,5,6,5,12,13,6,7,1,13,9,5,-1,7,South,196,194
13,10,1,1,1,1,1,5,6,5,12,13,6,7,1,12,10,4,-1,6,South,195,193
13,9,1,1,1,1,1,5,6,5,12,13,6,7,1,11,11,3,-1,5,South,194,192
13,8,1,1,1,1,1,5,6,5,12,13,6,7,1,10,12,2,-1,6,South,193,391
13,7,1,1,1,1,1,5,6,5,12,13,6,7,1,9,13,1,-1,7,South,192,390
13,6,1,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,8,South,391,389
12,6,1,1,1,1,1,5,6,5,12,5,1,7,1,7,13,-1,-1,9,West,390,388
11,6,1,1,1,1,1,5,6,5,12,5,1,7,1,6,12,-1,-1,10,West,389,387
10,6,1,1,1,1,1,5,6,5,12,5,1,7,1,5,11,-1,-1,11,West,388,386
9,6,1,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,12,West,387,385
8,6,1,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,13,West,386,384
7,6,1,1,1,1,1,5,6,5,12,5,1,7,1,2,8,-1,-1,14,West,385,583
6,6,1,1,1,1,1,5,6,5,12,5,1,7,1,1,7,-1,-1,15,West,384,582
5,6,1,1,1,1,1,1,1,5,12,5,1,7,1,-1,6,-1,-1,16,West,583,581
5,7,1,1,1,1,1,1,1,5,12,5,1,7,1,-1,5,-1,-1,15,North,582,580
5,8,1,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,14,North,581,579
5,9,0,1,1,1,1,1,1,5,12,5,1,7,1,-1,3,-1,-1,13,North,580,578
4,9,0,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,14,West,579,577
3,9,0,1,1,1,1,1,1,5,12,5,1,7,1,-1,5,-1,-1,15,West,578,576
2,9,0,1,1,1,1,1,1,5,12,5,1,7,1,-1,6,-1,-1,16,West,577,575
1,9,0,1,1,0,1,1,1,5,12,5,1,7,1,-1,7,-1,-1,17,West,576,574
1,8,1,1,1,0,1,1,1,5,12,5,1,7,1,-1,8,-1,-1,18,South,575,573
1,7,1,1,1,0,1,1,1,5,12,5,1,7,1,-1,9,-1,-1,19,South,574,572
