@relation 'training2_keyboard-weka.filters.unsupervised.attribute.Remove-R23,25'

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dis_Dot numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric
@attribute Score2 numeric

@data
12,10,1,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,7,Stop,0,-2
12,10,1,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,7,Stop,-1,-3
13,10,1,1,1,1,1,5,6,5,12,13,6,13,12,12,10,4,2,6,East,-2,-4
13,9,1,1,1,1,1,5,6,5,12,13,6,13,12,11,11,3,3,5,South,-3,-5
14,9,1,1,1,1,1,5,6,5,12,13,6,13,12,12,12,4,4,4,East,-4,-6
15,9,1,1,1,1,1,5,6,5,12,13,6,13,12,13,13,5,5,3,East,-5,-7
16,9,1,1,1,1,1,5,6,5,12,13,6,13,12,14,14,6,6,2,East,-6,92
17,9,1,1,1,1,1,5,6,5,12,13,6,13,12,15,15,7,7,1,East,-7,91
18,9,1,0,1,1,1,5,6,5,12,13,6,13,12,16,16,8,8,-1,East,92,90
18,8,1,0,1,1,1,5,6,5,12,13,6,13,12,15,17,7,9,-1,South,91,89
18,7,1,0,1,1,1,5,6,5,12,13,6,13,12,14,18,6,10,-1,South,90,88
18,6,1,0,1,1,1,5,6,5,12,13,6,13,12,13,19,5,11,-1,South,89,87
17,6,1,1,1,1,1,5,6,5,12,13,6,13,12,12,18,4,10,-1,West,88,86
16,6,1,1,1,1,1,5,6,5,12,13,6,13,12,11,17,3,9,-1,West,87,85
15,6,1,1,1,1,1,5,6,5,12,13,6,13,12,10,16,2,8,-1,West,86,284
14,6,1,1,1,1,1,5,6,5,12,13,6,13,12,9,15,1,7,-1,West,85,283
13,6,1,1,1,1,1,5,6,5,12,5,1,13,12,8,14,-1,6,-1,West,284,282
12,6,1,1,1,1,1,5,6,5,12,5,1,13,12,7,13,-1,7,-1,West,283,281
11,6,1,1,1,1,1,5,6,5,12,5,1,13,12,6,12,-1,8,-1,West,282,280
10,6,1,1,1,1,1,5,6,5,12,5,1,13,12,5,11,-1,9,-1,West,281,279
9,6,1,1,1,1,1,5,6,5,12,5,1,13,12,4,10,-1,10,-1,West,280,278
8,6,1,1,1,1,1,5,6,5,12,5,1,13,12,3,9,-1,11,-1,West,279,277
7,6,1,1,1,1,1,5,6,5,12,5,1,13,12,2,8,-1,12,-1,West,278,476
6,6,1,1,1,1,1,5,6,5,12,5,1,13,12,1,7,-1,13,-1,West,277,475
5,6,1,1,1,1,1,1,1,5,12,5,1,13,12,-1,6,-1,14,-1,West,476,474
4,6,1,1,1,1,1,1,1,5,12,5,1,13,12,-1,7,-1,15,-1,West,475,473
4,7,1,1,1,1,1,1,1,5,12,5,1,13,12,-1,6,-1,14,-1,North,474,472
4,8,1,1,1,1,1,1,1,5,12,5,1,13,12,-1,5,-1,13,-1,North,473,471
5,8,1,1,1,1,1,1,1,5,12,5,1,13,12,-1,4,-1,12,-1,East,472,470
6,8,1,1,1,1,1,1,1,5,12,5,1,13,12,-1,5,-1,11,-1,East,471,469
6,9,1,1,1,1,1,1,1,5,12,5,1,13,12,-1,4,-1,10,-1,North,470,468
6,10,1,1,1,0,1,1,1,5,12,5,1,13,12,-1,3,-1,9,-1,North,469,467
6,11,1,1,1,1,1,1,1,5,12,5,1,13,12,-1,2,-1,8,-1,North,468,666
5,11,1,1,0,1,1,1,1,5,12,5,1,13,12,-1,1,-1,9,-1,West,467,665
5,12,1,1,1,1,1,1,1,3,1,5,1,13,12,-1,-1,-1,8,-1,North,666,664
6,12,1,1,1,1,1,1,1,3,1,5,1,13,12,-1,-1,-1,7,-1,East,665,663
7,12,1,1,1,1,1,1,1,3,1,5,1,13,12,-1,-1,-1,6,-1,East,664,662
8,12,1,1,1,1,1,1,1,3,1,5,1,13,12,-1,-1,-1,5,-1,East,663,661
9,12,1,1,1,1,1,1,1,3,1,5,1,13,12,-1,-1,-1,4,-1,East,662,660
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,Stop,0,-2
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,Stop,-1,-3
5,12,0,1,1,1,1,9,3,11,7,19,12,22,9,13,11,14,20,1,East,-2,96
6,12,0,1,1,1,1,9,3,11,7,19,12,22,9,12,10,13,19,1,East,-3,195
7,12,0,1,1,1,1,9,3,11,7,19,12,22,9,11,9,12,18,1,East,96,294
8,12,0,1,1,1,1,9,3,11,7,19,12,22,9,10,8,11,17,1,East,195,393
9,12,0,1,1,1,1,9,3,11,7,19,12,22,9,9,7,10,16,1,East,294,392
10,12,0,1,1,1,1,9,3,11,7,19,12,22,9,10,6,9,15,1,East,393,491
11,12,0,1,1,1,1,9,3,11,7,19,12,22,9,11,5,8,14,1,East,392,590
11,11,1,1,1,1,1,9,3,11,7,19,12,22,9,10,4,9,13,1,South,491,589
11,10,1,1,1,1,1,9,3,11,7,19,12,22,9,9,3,10,12,1,South,590,688
11,9,1,1,1,1,1,9,3,11,7,19,12,22,9,8,2,11,11,1,South,589,887
11,8,1,1,1,1,1,9,3,11,7,19,12,22,9,7,1,12,12,1,South,688,886
11,7,1,1,1,1,1,9,3,3,1,19,12,22,9,6,-1,13,13,1,South,887,985
11,6,1,1,1,1,1,9,3,3,1,19,12,22,9,5,-1,14,14,1,South,886,1084
10,6,1,1,1,1,1,9,3,3,1,19,12,22,9,4,-1,15,15,1,West,985,1083
9,6,1,1,1,1,1,9,3,3,1,19,12,22,9,3,-1,16,16,1,West,1084,1082
9,5,1,1,1,1,1,9,3,3,1,19,12,22,9,2,-1,17,17,1,South,1083,1281
9,4,1,1,1,1,1,9,3,3,1,19,12,22,9,1,-1,18,18,1,South,1082,1380
9,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,19,19,1,South,1281,1379
10,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,18,18,1,East,1380,1378
11,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,17,17,1,East,1379,1377
12,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,16,16,1,East,1378,1376
13,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,15,15,2,East,1377,1375
14,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,14,14,2,East,1376,1374
15,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,13,13,1,East,1375,1473
16,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,12,12,1,East,1374,1572
17,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,11,11,1,East,1473,1671
18,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,10,10,1,East,1572,1770
19,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,9,9,1,East,1671,1869
20,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,10,8,1,East,1770,1968
20,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,9,7,1,North,1869,2067
21,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,10,6,1,East,1968,2166
22,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,11,5,1,East,2067,2165
22,5,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,10,4,1,North,2166,2264
22,6,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,9,3,1,North,2165,2363
22,7,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,8,2,1,North,2264,2562
22,8,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,7,1,1,North,2363,2661
22,9,1,1,1,1,1,1,1,3,1,19,12,7,1,-1,-1,6,-1,1,North,2562,2760
22,10,1,1,1,1,1,1,1,3,1,19,12,7,1,-1,-1,5,-1,1,North,2661,2859
21,10,1,1,1,1,1,1,1,3,1,19,12,7,1,-1,-1,4,-1,1,West,2760,2958
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,1,Stop,0,98
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,1,Stop,-1,197
8,3,0,1,0,1,1,3,5,8,7,11,7,18,11,7,4,7,18,1,West,98,296
7,3,0,1,0,1,1,3,5,8,7,11,7,18,11,6,5,8,19,1,West,197,395
6,3,1,1,0,0,1,3,5,8,7,11,7,18,11,5,6,9,20,1,West,296,494
6,4,1,0,1,0,1,3,5,8,7,11,7,18,11,4,5,8,19,1,North,395,593
6,5,1,1,1,1,1,3,5,8,7,11,7,18,11,3,4,7,18,1,North,494,692
5,5,0,1,0,1,1,3,5,8,7,11,7,18,11,2,5,8,19,1,West,593,891
4,5,0,1,1,1,1,3,5,8,7,11,7,18,11,1,6,9,20,1,West,692,990
3,5,1,1,0,0,1,1,1,8,7,11,7,18,11,-1,7,10,21,1,West,891,1089
3,6,1,0,1,0,1,1,1,8,7,11,7,18,11,-1,6,9,20,1,North,990,1188
3,7,1,1,1,1,1,1,1,8,7,11,7,18,11,-1,5,8,19,1,North,1089,1287
4,7,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,4,7,18,1,East,1188,1386
5,7,0,1,0,1,1,1,1,8,7,11,7,18,11,-1,3,6,17,1,East,1287,1485
6,7,1,0,1,1,1,1,1,8,7,11,7,18,11,-1,2,5,16,1,East,1386,1584
6,8,1,0,1,0,1,1,1,8,7,11,7,18,11,-1,3,6,15,1,North,1485,1683
6,9,1,1,1,1,1,1,1,8,7,11,7,18,11,-1,4,7,14,1,North,1584,1782
