@relation 'training2_keyboard-weka.filters.unsupervised.attribute.Remove-R23-25-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21-weka.filters.unsupervised.attribute.Remove-R20'

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric

@data
12,10,1,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,0
12,10,1,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,-1
13,10,1,1,1,1,1,5,6,5,12,13,6,13,12,12,10,4,2,East,-2
13,9,1,1,1,1,1,5,6,5,12,13,6,13,12,11,11,3,3,South,-3
14,9,1,1,1,1,1,5,6,5,12,13,6,13,12,12,12,4,4,East,-4
15,9,1,1,1,1,1,5,6,5,12,13,6,13,12,13,13,5,5,East,-5
16,9,1,1,1,1,1,5,6,5,12,13,6,13,12,14,14,6,6,East,-6
17,9,1,1,1,1,1,5,6,5,12,13,6,13,12,15,15,7,7,East,-7
18,9,1,0,1,1,1,5,6,5,12,13,6,13,12,16,16,8,8,East,92
18,8,1,0,1,1,1,5,6,5,12,13,6,13,12,15,17,7,9,South,91
18,7,1,0,1,1,1,5,6,5,12,13,6,13,12,14,18,6,10,South,90
18,6,1,0,1,1,1,5,6,5,12,13,6,13,12,13,19,5,11,South,89
17,6,1,1,1,1,1,5,6,5,12,13,6,13,12,12,18,4,10,West,88
16,6,1,1,1,1,1,5,6,5,12,13,6,13,12,11,17,3,9,West,87
15,6,1,1,1,1,1,5,6,5,12,13,6,13,12,10,16,2,8,West,86
14,6,1,1,1,1,1,5,6,5,12,13,6,13,12,9,15,1,7,West,85
13,6,1,1,1,1,1,5,6,5,12,5,1,13,12,8,14,-1,6,West,284
12,6,1,1,1,1,1,5,6,5,12,5,1,13,12,7,13,-1,7,West,283
