@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R23-25

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dis_Dot numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric

@data
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,Stop,0
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,Stop,-1
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,Stop,-2
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,Stop,-3
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,Stop,-4
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,Stop,-5
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,Stop,-6
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,Stop,-7
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,Stop,-8
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,Stop,-9
3,12,0,1,1,1,1,9,3,11,7,19,12,22,9,15,13,16,22,1,West,-10
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,2,East,-11
5,12,0,1,1,1,1,9,3,11,7,19,12,22,9,13,11,14,20,1,East,-12
6,12,0,1,1,1,1,9,3,11,7,19,12,22,9,12,10,13,19,1,East,-13
7,12,0,1,1,1,1,9,3,11,7,19,12,22,9,11,9,12,18,1,East,86
8,12,0,1,1,1,1,9,3,11,7,19,12,22,9,10,8,11,17,1,East,185
9,12,0,1,1,1,1,9,3,11,7,19,12,22,9,9,7,10,16,1,East,284
10,12,0,1,1,1,1,9,3,11,7,19,12,22,9,10,6,9,15,1,East,383
11,12,0,1,1,1,1,9,3,11,7,19,12,22,9,11,5,8,14,1,East,382
11,11,1,1,1,1,1,9,3,11,7,19,12,22,9,10,4,9,13,1,South,481
11,10,1,1,1,1,1,9,3,11,7,19,12,22,9,9,3,10,12,1,South,580
11,9,1,1,1,1,1,9,3,11,7,19,12,22,9,8,2,11,11,1,South,579
11,8,1,1,1,1,1,9,3,11,7,19,12,22,9,7,1,12,12,1,South,678
11,7,1,1,1,1,1,9,3,3,1,19,12,22,9,6,-1,13,13,1,South,877
11,6,1,1,1,1,1,9,3,3,1,19,12,22,9,5,-1,14,14,1,South,876
10,6,1,1,1,1,1,9,3,3,1,19,12,22,9,4,-1,15,15,1,West,975
9,6,1,1,1,1,1,9,3,3,1,19,12,22,9,3,-1,16,16,1,West,1074
9,5,1,1,1,1,1,9,3,3,1,19,12,22,9,2,-1,17,17,1,South,1073
9,4,1,1,1,1,1,9,3,3,1,19,12,22,9,1,-1,18,18,1,South,1072
9,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,19,19,1,South,1271
9,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,19,19,1,South,1270
10,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,18,18,1,East,1369
11,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,17,17,1,East,1368
11,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,16,16,1,North,1467
11,5,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,15,15,1,North,1566
11,6,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,14,14,2,North,1565
11,7,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,13,13,1,North,1564
11,8,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,12,12,1,North,1563
11,9,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,11,11,1,North,1562
11,10,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,10,12,1,North,1561
11,11,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,9,13,1,North,1560
12,11,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,8,12,1,East,1659
13,11,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,7,11,2,East,1658
14,11,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,6,10,1,East,1657
15,11,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,5,9,1,East,1756
16,11,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,4,8,1,East,1855
17,11,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,3,7,1,East,1954
17,12,0,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,2,8,1,North,2053
18,12,0,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,1,7,2,East,2152
19,12,0,1,1,1,1,1,1,3,1,5,1,22,9,-1,-1,-1,6,1,East,2351
20,12,0,1,1,1,1,1,1,3,1,5,1,22,9,-1,-1,-1,5,1,East,2450
21,12,0,1,1,1,1,1,1,3,1,5,1,22,9,-1,-1,-1,4,1,East,2449
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,1,Stop,0
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,1,Stop,-1
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,1,Stop,-2
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,1,Stop,-3
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,1,Stop,-4
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,1,Stop,-5
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,1,Stop,-6
10,3,0,1,0,1,1,3,5,8,7,11,7,18,11,9,6,5,16,1,East,93
11,3,0,1,0,1,1,3,5,8,7,11,7,18,11,10,7,4,15,1,East,192
12,3,0,1,0,1,1,3,5,8,7,11,7,18,11,11,8,5,14,1,East,291
13,3,1,0,0,1,1,3,5,8,7,11,7,18,11,12,9,6,13,1,East,390
13,3,1,0,0,1,1,3,5,8,7,11,7,18,11,12,9,6,13,1,East,389
13,4,1,0,1,0,1,3,5,8,7,11,7,18,11,11,8,5,12,1,North,488
13,5,1,1,1,1,1,3,5,8,7,11,7,18,11,10,7,4,11,1,North,587
13,6,1,0,1,0,1,3,5,8,7,11,7,18,11,11,6,3,10,1,North,686
13,7,1,1,1,0,1,3,5,8,7,11,7,18,11,12,5,2,9,1,North,785
13,8,1,0,1,0,1,3,5,8,7,11,7,18,11,13,6,3,8,1,North,884
13,9,1,1,1,1,1,3,5,8,7,11,7,18,11,14,7,4,7,1,North,983
14,9,0,1,0,1,1,3,5,8,7,11,7,18,11,15,8,5,6,1,East,1082
15,9,1,1,0,1,1,3,5,8,7,11,7,18,11,16,9,6,5,1,East,1181
16,9,0,0,1,1,1,3,5,8,7,11,7,18,11,17,10,7,4,1,East,1280
16,9,0,0,1,1,1,3,5,8,7,11,7,18,11,17,10,7,4,1,East,1279
16,9,0,0,1,1,1,3,5,8,7,11,7,18,11,17,10,7,4,1,East,1278
16,9,0,0,1,1,1,3,5,8,7,11,7,18,11,17,10,7,4,1,East,1277
16,9,0,0,1,1,1,3,5,8,7,11,7,18,11,17,10,7,4,1,East,1276
15,9,1,1,0,1,1,3,5,8,7,11,7,18,11,16,9,6,5,1,West,1275
15,10,1,0,1,0,1,3,5,8,7,11,7,18,11,17,10,7,4,1,North,1374
15,11,0,1,1,0,1,3,5,8,7,11,7,18,11,18,11,8,3,1,North,1473
15,11,0,1,1,0,1,3,5,8,7,11,7,18,11,18,11,8,3,1,North,1472
15,11,0,1,1,0,1,3,5,8,7,11,7,18,11,18,11,8,3,1,North,1471
16,11,0,1,0,1,1,3,5,8,7,11,7,18,11,19,12,9,2,1,East,1570
17,11,0,1,0,1,1,3,5,8,7,11,7,18,11,20,13,10,1,2,East,1669
18,11,0,0,1,1,1,3,5,8,7,11,7,7,1,21,14,11,-1,1,East,1868
18,11,0,0,1,1,1,3,5,8,7,11,7,7,1,21,14,11,-1,1,East,1867
17,11,0,1,0,1,1,3,5,8,7,11,7,7,1,20,13,10,-1,2,West,1866
16,11,0,1,0,1,1,3,5,8,7,11,7,7,1,19,12,9,-1,3,West,1865
15,11,0,1,1,0,1,3,5,8,7,11,7,7,1,18,11,8,-1,2,West,1864
15,10,1,0,1,0,1,3,5,8,7,11,7,7,1,17,10,7,-1,2,South,1863
15,9,1,1,0,1,1,3,5,8,7,11,7,7,1,16,9,6,-1,2,South,1862
15,9,1,1,0,1,1,3,5,8,7,11,7,7,1,16,9,6,-1,2,South,1861
14,9,0,1,0,1,1,3,5,8,7,11,7,7,1,15,8,5,-1,2,West,1860
13,9,1,1,1,1,1,3,5,8,7,11,7,7,1,14,7,4,-1,1,West,1859
12,9,0,1,0,1,1,3,5,8,7,11,7,7,1,13,6,3,-1,1,West,1958
11,9,0,1,0,1,1,3,5,8,7,11,7,7,1,12,5,2,-1,1,West,2057
10,9,0,1,1,1,1,3,5,8,7,11,7,7,1,11,4,3,-1,1,West,2156
10,8,1,0,1,1,1,3,5,8,7,11,7,7,1,10,3,2,-1,2,South,2155
